Country,Operator,Brand,PLMN
Lesotho,Econet Telecom Lesotho,,
Lesotho,Vodacom,,
Liberia,LTC Mobile,,
Liberia,Lonestar Cell MTN,,
Liberia,Novafone,,
Liberia,Orange,,
Libya,Madar,,
Libya,Libyana,,
Liechtenstein,7acht,,29502
Liechtenstein,FL1,,29505
Liechtenstein,Swisscom FL,,29501
Lithuania,Bitė,,24602 24608 • includes the previous Mezon network.
Lithuania,Tele2,,24603
Lithuania,Telia,,24601
Luxembourg,Orange,,27099
Luxembourg,POST,,27001
Luxembourg,Tango,,27077
Macau,3,,
Macau,CTM,,
Macau,China Telecom,,
Madagascar,Airtel,,
Madagascar,Blueline,,
Madagascar,Orange,,
Madagascar,Telma,,
Malawi,Access,,
Malawi,Airtel,,
Malawi,G-Expresso,,
Malawi,G-Mobile,,
Malawi,Lacell,,
Malawi,MTL,,
Malawi,TNM,,
Maldives,Dhiraagu,,
Maldives,Ooredoo,,
Mali,Malitel,,
Mali,Orange,,
Mali,Planor,,
Malta,Vodafone,,27801
Malta,GO,,27821
Malta,Melita,,27877
Marshall Islands,NTA,,
Mauritania,Chinguitel,,
Mauritania,Mattel,,
Mauritania,Mauritel,,
Mauritius,CHiLi,,
Mauritius,Emtel,,
Mauritius,Mauritius Telecom,,
Mexico,AT&T Mexico,,
Mexico,Cierto,,
Mexico,Flash Mobile,,
Mexico,Maz Tiempo,,
Mexico,Movistar,,
Mexico,Oui Móvil,,
Mexico,QBO Cel,,
Mexico,Red Compartida,,
Mexico,Telcel,,
Mexico,Virgin Mobile,,
Mexico,weex,,
Moldova,Interdnestrcom operating in Transnistria region only,,25906
Moldova,Moldcell,,25902
Moldova,Moldtelecom,,"25903,25905,25999"
Moldova,Orange,,25901
Monaco,Monaco Telecom,,21210
Mongolia,G-Mobile,,
Mongolia,Mobicom,,
Mongolia,Skytel,,
Mongolia,Unitel,,
Montenegro,Crnogorski Telekom,,29702
Montenegro,One Montenegro,,29701
Montenegro,m:tel,,29703
Montserrat,Digicel,,
Montserrat,FLOW,,
Morocco,IAM,,
Morocco,Orange,,
Morocco,INWI,,
Mozambique,Movitel,,
Mozambique,Tmcel,,
Mozambique,Vodacom,,
Myanmar,ATOM,,
Myanmar,MPT,,
Myanmar,Mytel,,
Myanmar,Ooredoo,,
Namibia,MTC,,
Namibia,TN Mobile,,
Nauru,Digicel,,
Nepal,Ncell,,
Nepal,Nepal Telecom,,
Nepal,SmartCell,,
Netherlands,KPN,,20408
Netherlands,Odido,,20416 and 20402
Netherlands,Vodafone,,20404
New Caledonia,Mobilis,,
New Zealand,2degrees,,
New Zealand,Compass Mobile,,
New Zealand,Contact Mobile,,
New Zealand,Kiwi Mobile,,
New Zealand,Kogan Mobile,,
New Zealand,Mighty Mobile,,
New Zealand,One NZ,,
New Zealand,Rocket Mobile,,
New Zealand,Skinny,,
New Zealand,Slingshot Mobile,,
New Zealand,Spark,,
New Zealand,Warehouse Mobile,,
Nicaragua,Claro,,
Nicaragua,Tigo,,
Niger,Airtel,,
Niger,Moov Africa Niger,,
Niger,Niger Telecoms,,
Niger,Zamani Telecom,,
Nigeria,9mobile,,
Nigeria,Airtel,,
Nigeria,Glo Mobile,,
Nigeria,MTN,,
Niue,Telecom Niue,,
Norfolk Island,Norfolk Telecom,,
North Korea,Kangsong NET,,
North Korea,Koryolink,,
North Macedonia,A1,,29403
North Macedonia,Telekom,,29401
Northern Mariana Islands,Docomo Pacific,,
Northern Mariana Islands,IT&E,,
Norway,Ice,,"24214, 24206"
Norway,Telenor,,24201
Norway,Telia,,24202
Oman,Omantel,,
Oman,Ooredoo,,
Palau,PalauCel,,552-01
Palestine,Jawwal,,
Palestine,Ooredoo,,
Panama,+móvil,,
Panama,Tigo,,
Papua New Guinea,BMobile,,
Papua New Guinea,Digicel,,
Papua New Guinea,Telikom PNG,,
Paraguay,Claro,,
Paraguay,Personal,,
Paraguay,Tigo,,
Paraguay,VOX,,
Peru,ASU MOBILE,,
Peru,Bitel,,
Peru,Claro,,
Peru,Cuy Móvil,,
Peru,Entel,,
Peru,Movistar,,
Peru,UNION TELECOM,,
Poland,Orange,,26003
Poland,Play,,26006
Poland,Plus,,26001
Poland,T-Mobile,,26002
Portugal,DIGI,,26802
Portugal,MEO,,26806
Portugal,NOS,,26803
Portugal,Vodafone,,26801
Puerto Rico and United States Virgin Islands,Claro,,
Puerto Rico and United States Virgin Islands,Liberty,,
Puerto Rico and United States Virgin Islands,T-Mobile,,
Puerto Rico and United States Virgin Islands,TracFone Wireless,,
Qatar,Ooredoo,,
Qatar,Vodafone,,
Romania,Digi,,22605
Romania,Orange,,22610
Romania,Telekom,,22603
Romania,Vodafone,,22601
Rwanda,Airtel,,
Rwanda,MTN Rwanda,,
Rwanda,Rwandatel,,
Réunion,FREE,,
Réunion,Orange,,
Réunion,SFR,,
Saint Helena,Sure,,
Saint Kitts and Nevis,Digicel,,
Saint Kitts and Nevis,FLOW,,
Saint Lucia,Digicel,,
Saint Lucia,FLOW,,
Saint Lucia,NTRC,,
Saint Lucia,SLICTA,,
Saint Vincent and the Grenadines,Bouygues,,
Saint Vincent and the Grenadines,Digicel,,
Saint Vincent and the Grenadines,FLOW,,
Samoa,Digicel,,
Samoa,Vodafone Samoa,,
San Marino,Prima,,29201
San Marino,TIM San Marino,,22201
San Marino,Telefonia Mobile Sammarinese,,22201
Saudi Arabia,Lebara Mobile KSA,,
Saudi Arabia,Mobily,,
Saudi Arabia,Virgin mobile KSA,,
Saudi Arabia,Zain,,
Saudi Arabia,stc,,
Senegal,Expresso,,
Senegal,Free,,
Senegal,Hayo Telecom,,
Senegal,Orange,,
Serbia,A1,,22005
Serbia,MTS,,22003
Serbia,Yettel,,22001
Seychelles,Airtel,,
Seychelles,Cable & Wireless,,
Sierra Leone,Africell,,
Sierra Leone,Comium,,
Sierra Leone,GreenN,,
Sierra Leone,Orange,,
Sierra Leone,Qcell,,
Sierra Leone,Sierratel,,
Singapore,Changi Mobile,,
Singapore,China Mobile CMLink SG,,
Singapore,China Unicom CUniq SG,,
Singapore,Circles.Life,,
Singapore,GRID Communications,,
Singapore,Geenet Mobile,,
Singapore,M1 with a digital sub-brand Maxx,,
Singapore,MyRepublic,,
Singapore,SIMBA,,
Singapore,Singtel Mobile with digital sub-brands GOMO and heya,,
Singapore,StarHub with digital sub-brands giga! and eight telecom,,
Singapore,VIVIFI,,
Singapore,ZYM Mobile,,
Singapore,Zero1,,
Singapore,redONE,,
Slovakia,4ka,,23103
Slovakia,O 2,,23106
Slovakia,Orange,,"23101, 23105"
Slovakia,Telekom,,"23102, 23104"
Slovenia,A1,,29340
Slovenia,T-2,,29364
Slovenia,Telekom Slovenije,,29341
Slovenia,Telemach,,29370
Solomon Islands,Our Telekom,,
Somalia,Golis Telecom Somalia,,
Somalia,Hormuud,,
Somalia,Nationlink,,
Somalia,Netco,,
Somalia,SomNet,,
Somalia,Somafone,,
Somalia,Somtel,,
Somalia,Telcom Somalia,,
Somalia,Telesom Mobile,,
South Africa,Cell C,,
South Africa,MTN,,
South Africa,Rain,,
South Africa,Telkom,,
South Africa,Vodacom,,
South Korea,KT,,
South Korea,LG U +,,
South Korea,SK Telecom,,
South Sudan,Gemtel,,
South Sudan,MTN,,
South Sudan,Sudani,,
South Sudan,Vivacell,,
South Sudan,Zain,,
Spain,DIGI,,21422
Spain,Movistar,,21407
Spain,MásOrange,,21403 21404
Spain,Vodafone,,21401
Sri Lanka,Dialog,,413-02
Sri Lanka,Hutch,,413-08
Sri Lanka,SLTMobitel,,413-01
Sudan,Canar,,
Sudan,MTN,,
Sudan,Sudani,,
Sudan,Zain,,
Suriname,Digicel,,
Suriname,Telesur,,
Sweden,Tele2,,24007
Sweden,Telenor,,24008
Sweden,Telia,,24001
Sweden,Tre,,24002
Switzerland,Salt,,22803
Switzerland,Sunrise,,22802
Switzerland,Swisscom,,22801
Syria,MTN,,
Syria,Rcell,,
Syria,Syriatel,,
São Tomé and Príncipe,CST,,
Taiwan,Chunghwa Telecom 中華電信,,
Taiwan,Far EasTone 遠傳電信,,
Taiwan,Ibon Mobile,,
Taiwan,Line Mobile,,
Taiwan,Taiwan Mobile 台灣大哥大,,
Tajikistan,Babilon-Mobile,,
Tajikistan,MegaFon,,
Tajikistan,Tcell,,
Tajikistan,ZET Mobile,,
Tanzania,Airtel,,
Tanzania,Halotel,,
Tanzania,Tigo,,
Tanzania,Vodacom,,
Tanzania,Zantel,,
Thailand,168,,
Thailand,AIS or Advanced Info Service,,
Thailand,AJ SIM,,
Thailand,Feels,,
Thailand,IEC3G Buzzme,,
Thailand,Mojo 3G,,
Thailand,MyWorld 3G,,
Thailand,NT Mobile,,
Thailand,OPEN SIM i-mobile,,
Thailand,Penguin,,
Thailand,Redone  ),,
Thailand,Tune Talk,,
Thailand,i-Kool 3G,,
Thailand,imobile-3GX,,
Thailand,my by NT,,
Timor-Leste,Telemor,,
Timor-Leste,Telkomcel,,
Timor-Leste,Timor Telecom,,
Togo,Moov Africa Togo,,
Togo,Togocel,,
Tonga,Digicel,,
Tonga,TCC,,
Tonga,Wantok,,
Trinidad and Tobago,Digicel,,
Trinidad and Tobago,bmobile,,
Tunisia,Ooredoo,,
Tunisia,Orange,,
Tunisia,Tunisie Telecom,,
Turkey,Turkcell,,
Turkey,Turkcell,,
Turkey,Türk Telekom,,
Turkey,Türk Telekom,,
Turkey,Vodafone,,
Turkey,Vodafone Turkey,,
Turkmenistan,AȘTU,,
Turkmenistan,TM CELL,,
Turks and Caicos Islands,Digicel,,
Turks and Caicos Islands,FLOW,,
Tuvalu,TTC,,
Uganda,Airtel Uganda,,
Uganda,Lycamobile,,
Uganda,MTN Uganda,,
Uganda,Smile Telecom,,
Uganda,UTel,,
Ukraine,Intertelecom,,25504
Ukraine,Kyivstar,,25503
Ukraine,PEOPLEnet,,25521
Ukraine,TriMob,,25507
Ukraine,Vodafone,,25501
Ukraine,lifecell,,25506
United Arab Emirates,Etisalat,,
United Arab Emirates,du,,
United Kingdom,EE,,23430 and 23433
United Kingdom,O2,,23410
United Kingdom,Three,,23420
United Kingdom,Vodafone,,23415
United States,AT&T,,
United States,Boost Mobile,,
United States,T-Mobile,,
United States,U.S. Cellular,,
United States,Verizon,,
Uruguay,Antel,,
Uruguay,Claro,,
Uruguay,Movistar,,
Uzbekistan,Beeline,,
Uzbekistan,Mobi.UZ,,
Uzbekistan,Perfectum,,
Uzbekistan,UCell,,
Uzbekistan,Uzmobile,,
Vanuatu,AIL,,
Vanuatu,Digicel,,
Vanuatu,Vodafone Vanuatu,,
Vanuatu,WanTok,,
Venezuela,Digitel GSM,,
Venezuela,Movilnet,,
Venezuela,Movistar,,
Vietnam,MobiFone,,
Vietnam,Vietnamobile,,
Vietnam,Viettel,,
Vietnam,Vinaphone,,
Yemen,Sabafon,,
Yemen,Y Telecom,,
Yemen,YOU,,
Yemen,Yemen Mobile,,
Zambia,Airtel,,
Zambia,MTN,,
Zambia,Zamtel,,
Zimbabwe,Econet,,
Zimbabwe,NetOne,,
Zimbabwe,telecel,,
