<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20251018 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-21650000004             28         18
4-33689003033            852        707
4-331121485010106           12          6
4-33609009915             34         23
4-23599999952             35         26
4-13603399697             24          6
4-19703769807             26         14
4-44054729364              4          4
4-324750004055633         63         46
4-64609091004              6          6
4-8645484440000            4          0
4-33609009914             38         28
4-331914115010103           11          5
4-821196580000            25         20
4-447488200124            24         19
4-393533000028            18         14
4-447802002730             12          12
4-447802002731            17         17
4-34642200029             14          9
4-661914219050056          6          6
4-447802002267            69         43
4-33191530550019           5          1
4-417949983007012        146        123
4-491700600309             5          5
4-639170000359            18          4
4-883170000000002          9          9
4-3319150150515            5          5
4-324860006004001         93         77
4-201089968208             8          4
4-33191485010110           9          4
4-966593888389           152        104
4-3241050004001309          10          6
4-33191393490273          17         12
4-919934129300            13          9
4-491760003024             11          11
4-33609009906             30         20
4-33191491720129          13          8
4-201059968206             6          2
4-8613466470000            5          1
4-447953700551             5          1
4-201059998098             9          5
4-3311211205420145           12          6
4-4237902929               9          4
4-19703769828             89         58
4-491700900120             9          4
4-204059968082             4          4
4-46705006205              6          2
4-861328488802             8          8
4-891851940440             9          0
4-33191393490341          32         25
4-22366700065             97         80
4-33191992770198           9          5
4-447953700235            23         17
4-491700600315             11          7
4-33191905450355           5          5
4-19703769806             31         19
4-31624000284              12          8
4-34609092030             26         17
4-905590000229             4          4
7-17077259012              7          7
4-2348050001018           18         13
4-33191393490257          24         16
4-33191491720170          14         14
7-38269099120              7          7
4-32495000300              4          4
7-791700600308             7          7
4-439790182220             9          4
4-33191351930065          52         38
4-33191351910061          21         17
4-33609009902             42         29
4-447953700207            16         12
4-331911514420005          9          4
4-33191346860184           8          8
4-447953700216            14         10
4-36309489900             17         17
4-31653099532             92         57
4-447956700219             6          6
4-669180009011             6          1
4-919935090110             9          3
4-48881109032            131        109
4-3319150150517            5          5
4-48601000070              6          6
4-33689008472             72         61
4-393533000029            15         11
4-3319149110203310           10          6
4-3319150150515            5          5
4-4792001161              17         17
4-66191261880011           6          2
4-491790003007             9          5
4-33191353870031          13          7
4-4917600030111             11          5
4-3319150150447            5          5
4-33191236720149          47         34
4-491700600300            14         14
7-8615002310000            7          7
4-33609009901             40         29
4-939180008988             9          1
4-48881109142             22         17
4-79942611192             24         19
4-8490542444852            4          4
7-35796967007              7          7
7-33191773850196           7          7
4-33191221770048          52         36
7-12085978680              7          3
4-447802002747            15         15
4-8613505310000            5          1
4-33191491720142           8          8
4-864565464000             4          4
4-33689002872             32         20
4-447953700217            17         11
4-33191227900042          51         43
4-48884409072              4          4
4-989110014                6          6
4-33191221770047          60         41
4-447782000222             6          1
4-488811012002              12          6
4-33191393490258          23         19
4-501059968071             5          1
4-491700600157             6          6
4-550022102003             11          6
4-491700600164             6          2
4-40744009900             24         14
4-48881139132             13          8
4-905590000226             6          6
7-791700600127             7          3
4-85290484006              4          4
4-882470000001001         21         14
4-33191491720343           11          7
4-48881109012           1656       1449
4-71211200121201              12          7
4-447953700233             9          9
4-33191393490260          19         13
4-447802002330            29         15
4-331914917201611           11          11
4-491760003009            13          9
4-8913334113000            9          3
4-4911000600145             10          10
4-353857000880             12          6
4-491700900139             9          9
4-447802002262             6          6
4-447956700256             6          6
4-33191393490332          33         27
4-372561000113              11          6
4-447488200125            32         28
4-201089968207             8          8
4-436760172100            44         17
4-41794992105            181          0
7-777782000228             7          7
4-33609009917             33         22
4-491760003033            48         36
7-777782000116             7          2
7-38161067                 7          7
4-550027102006             6          0
4-201089968202             8          4
7-905590000201             7          3
4-33191346560173          17         10
4-4911000600113             10          6
4-96139960265             20         14
4-35699418500             31         17
4-447953700208            17         11
4-352021100056            33         25
4-40770000027             13         13
7-78602003072              7          3
4-33191491720148           8          8
4-19703769833             58         21
4-91911921231147             11          7
4-447782000246             6          2
4-33689002871             25         16
4-33609009910             43         31
4-40770000029             14         10
4-966575486140            32         25
4-393358815162            14          8
4-33191393490271           9          4
4-33191222400020         274        209
4-919816001268             10          3
4-254722500122             11          11
4-447805005563             5          5
7-33695000380              7          7
4-66926012506              6          6
4-60971460011              6          6
4-4540699830              14          9
4-33609009913             30         19
4-249912090007            17          9
4-33191393490266          19         14
4-212602790326            88         65
4-4267902650               6          0
4-491700900117             9          9
4-905590000533             5          1
4-33191243840013          45         37
4-33191356940085         208         84
4-201059998079             9          5
4-491700600306            19         11
4-33191393490323          19         14
4-19703769842             80         47
4-905590000534             5          5
4-33191491720342           9          5
4-447802002746             12          7
4-447953700545             5          5
4-19703769808             38         21
4-447953700220            20         14
4-68268000904              6          6
4-8614796380000            5          5
4-33191417880087          30         21
4-3311214121720167           12          12
4-447488200126            34         27
4-331911514420010          10          6
7-352061000230             7          2
7-355680200025             7          7
7-33191785010107           7          3
4-13603399653             13          2
4-33191485010395           9          4
4-424949904074             4          4
4-33191393490276          17         12
4-254722500117             12          5
4-8618516404551            5          0
4-8648405440000            4          4
4-4790000950              13         13
4-86134361040000            10          5
4-491760003014            15         10
4-97477920100             31         21
4-46707000303              5          5
4-46363848772              4          4
4-336440000099443          4          4
4-34642200027             17         12
4-447802002737            13         13
4-33191393490265          13          6
4-491700600104             6          6
7-33191785010107           7          3
4-6619120120520            6          6
4-491700600303            14         14
4-393358815112            17         13
7-791700600108             7          7
7-12707792738              7          1
4-491760003021             8          3
4-491700600305             11          11
4-4792001159               9          5
4-33191488010086           8          3
4-905329346000            29         24
4-352091000110             9          9
4-8647875470000            4          4
4-49039326956              4          0
4-298249070                4          4
4-861556508458             5          5
4-450733087405             5          5
4-48881109082              6          2
7-777953700220             7          7
4-324750007320409          9          9
4-491760007062             6          1
4-669180009009             6          1
4-35610101094012              10          6
4-3319120120439            8          3
7-3319120120777            7          3
4-4121700600110             12          8
4-33191393490331          44         35
4-33191393490218          18         12
4-885585000001104          5          0
4-94785000060              6          6
4-3349420420474            4          4
4-62816081125              10          2
4-16473840081             61         45
4-46731260001              11          11
4-905590000274             4          4
4-919861029100             6          2
4-2541022500118             10          4
4-6281137162              13          7
4-40770000025             14          9
4-639480008994             4          0
4-353830000250            26         22
4-33609009911             37         23
4-491760003015            15         15
7-791700600176             7          3
4-79262004640             18         14
4-6391110009004             11          3
4-959790000058             6          2
7-791700600150             7          3
4-917021075029             6          2
7-791700600106             7          3
4-669180009006             6          0
4-4792001162              16         12
4-447953700231             9          5
4-639180009007             5          5
4-864476740000             4          4
4-33191393490251          15         10
4-37556100500              5          0
4-447785000555             5          0
4-8643747434000            4          4
4-4911060003011             10          6
4-33191393490281          17         12
7-16363878769              7          3
4-447953700202            16         12
4-6619120120411            6          6
4-66191905420195           6          1
4-4792001190               9          5
4-4121760003002             12          8
4-33191393490249          17         13
4-33494905420283           4          4
4-324753004055602         53         41
4-882285000004444          4          4
4-8644773950000            4          4
4-331121346560153           12          12
4-31924000285              9          9
4-66191646070740           6          2
4-33191485010082           10          5
4-48604000065              4          0
4-861958457000             6          6
4-33191346560152          15          9
4-12733601121210              12          7
4-34642200028              12          7
4-639180009019             8          0
4-44109531000254             10          10
4-491760003013             8          4
7-76707000300              7          7
4-33191646560169          16         11
4-33191491720341           8          8
4-46707000400             13         13
7-78881109132              7          7
4-949434399244             4          0
4-37069899882              4          4
7-791700600317             7          2
4-33609009905             30         22
4-450733087404             5          5
4-19704069832             40         18
4-331914911020099           10          6
7-3319120120737            7          7
4-33191233240056          19         12
4-358508774424             4          4
4-36191346070467          36         26
4-79167494207              6          6
4-491760003008            13         13
7-8613775908000            7          2
4-33609009908             37         22
4-353830000044             4          0
4-334944249050004          4          4
4-33609009904             37         29
4-3859815009               5          1
4-491700600304            17         12
4-79167494179              5          1
4-316530860010            14          9
4-8613641130000            10          6
4-8644770870000            4          4
7-791700600102             7          7
4-8644745240000            4          4
4-4911000600129             10          5
4-44054729494              4          4
4-550119105004             5          0
4-33689008525             30         25
7-70766000110              7          3
4-491790003009             9          9
4-33689008886             26         20
4-491700600159             11          5
4-33191346070488           8          1
4-919890064808             8          2
4-33191346560176          17         12
4-491760003032            58         47
4-8615083450000            5          1
4-201059998074             9          5
4-33191346560181          14          7
7-3319120120736            7          7
4-424903002027             4          4
4-661911514420006          6          2
7-76705003208              7          3
7-33689008126              7          7
4-447956700248             6          6
4-204059968086             4          0
4-491760003019             11          7
4-864304765000             4          4
4-201059968081             10          10
4-242055005047             6          6
4-491700600161             6          6
7-791700600132             7          1
4-116133441111000            11          5
4-4911000600103             10          5
4-8644778640000            4          0
4-3319150150505            5          1
7-3319120120506            7          7
4-447956700227             6          2
4-9643488804               4          0
7-777802002738             7          7
4-331914911020338           10          6
4-44054729228              4          4
4-33191393490264          20         14
4-7924960097220            4          4
4-381960998063             8          4
4-491700600155            13          7
4-41794992015            113         96
4-491700600112             11          6
4-44109531000223             10          10
4-201059968089             6          1
4-46705003503              5          1
4-447983700288             8          4
4-44047259048              4          4
4-10921960096490            10          6
4-92300040596              4          4
4-447953700211            18         10
4-33191243810049           9          4
7-777782000117             7          3
4-491700900114             9          9
4-393358840745650          5          5
4-22670900007             48         39
4-439990041202            39         25
4-331914206080026         14         14
4-79126616262              6          6
4-669180009008             6          1
4-324780007321214          8          8
4-79467494478              4          4
4-861476742000             6          2
4-4121700600156             12          7
4-8190545114853            5          5
4-33191346560162           10          4
4-79467494223              4          4
4-949847097353             4          4
4-19703769809            120         31
4-33191349590190           9          5
4-79167494506              5          5
4-4367603034000            5          5
4-864562647000             4          4
4-8490542444872            4          4
4-33191491720169          13          7
4-491700600184             8          8
4-491760003016             11          7
4-33494687770048           4          4
4-447488200567             6          6
4-447785000531             5          1
4-33191485010414           9          5
4-46708000000             18         14
4-13603399694             71         20
4-4471253700230             12          8
4-33609009907             32         24
4-8647844940000            4          4
4-79167494559              5          5
4-639170000358            13          4
4-316240002116              11          11
4-331121346070455           12          2
7-257722500116             7          3
4-491760003017            14         14
4-8613334262000           13          8
4-447953700226             11          11
4-79126616161              6          6
4-491760003015            15         10
4-1266510248400             12          12
4-919897050310             5          5
4-79167494208              6          6
4-33494355690045           4          0
4-971550930009            79         65
4-393205800014            19         10
4-393533000027            15         11
4-48881109062            312        257
7-393358911006             7          7
4-491700600101             5          5
4-65816081154              5          5
4-37429899920              4          0
4-4667606066000            6          6
4-79184790018              8          3
4-658402001004             6          6
4-8648450500000            4          0
4-491700600316             8          8
4-639180008986             5          1
4-331915590154051          5          5
4-331911514420007         31         21
4-447956700244             6          6
7-905590000272             7          3
4-883430000008205          4          4
4-33609009916             37         29
4-544950170050             5          5
4-3319127820099            9          9
4-44047259037              4          0
4-973396001162              11          11
4-46707000233            105         90
4-79467494475              4          4
4-324750007315415          11          7
4-33191319540275           9          3
4-447782004260             4          4
4-491700900111             9          5
4-491700600138             8          4
4-66191905420657           6          2
4-447953700204            24         18
4-33191346070451          14          7
7-861562611000             7          7
7-791700600128             7          2
4-79639744454              4          4
4-447805005736             5          1
4-9595930075               5          5
4-882285000001110          6          0
4-864320048040             4          4
4-33191491720143          13         13
4-79467494448              4          4
4-66926010450              6          1
4-79167494224              6          6
4-79467494473              4          4
4-33112141217201412           12          7
4-447983700222             8          4
4-79167494188              5          5
7-79112009905              7          7
4-33494905420285           4          0
4-31624000281              8          8
4-49037029905              4          4
4-8614741040000            6          6
4-33660005440              4          4
4-46707000276              12          6
4-51650000057              5          5
4-8643564840000            4          4
4-994550000205             6          1
7-79167797201              7          3
4-3311214121720174           12          12
4-491700900190             9          5
4-994550000556             5          0
4-491700600607             6          6
4-33191511950001           5          5
4-44054729334              4          4
7-3319120120772            7          3
4-121128412005532             12          5
4-939170000337             9          2
4-8648364240000            4          4
4-9477000338               4          0
4-351960995065             5          5
4-3728098027               8          8
4-33191491720171           11          6
4-3848900088               8          4
7-919870011921             7          3
4-436990071206            13         13
4-33191890380087           8          8
7-791700600151             7          7
7-201059968073             7          3
4-905590000234             4          4
4-447953700535             5          5
4-33191905450193           5          1
4-48602003040             14         14
4-447953700212            16         12
4-8643452440000            4          4
4-48601000068              6          6
4-21650000050              6          6
4-254722500119             11          7
4-351960995064             10          5
4-33689008888             19         12
4-56982999055              6          1
4-821080010585             12          7
4-491700900138             9          9
4-8645444930000            4          4
4-436760185553             5          0
4-639180009001             5          0
4-639170000369            16          4
4-919893581560             5          5
4-849066549778             4          4
4-8643436470000            4          0
4-42085978686              4          4
4-79014951192              6          6
4-33494346540267           4          4
4-33494229970047           4          4
4-201059968205             6          2
4-48881109022             31         22
7-33191791720130           7          7
4-8613441765               5          5
4-38641003602              8          3
4-331919687700003          8          8
4-447782000248             4          0
4-639480008992             4          4
4-66923046504              4          4
4-8613775450000            5          5
4-16165000212              6          2
4-77050000030              4          0
4-3319141150101011           11          1
4-48601000067              5          0
4-49039326968              4          0
4-639480009005             4          0
4-12085978677              6          6
4-861476741000             5          5
4-3755509930               5          5
4-661916766910002          6          6
4-4237902670              78          1
4-79184790003              8          4
4-33689008065              5          1
4-331912290195042          11          6
4-3319120120813            8          8
4-33191491720141           11          7
4-13603399696             22          1
4-3123533000026             12          6
7-777953700229             7          7
7-76705003207              7          7
4-447559499030           287        257
4-77050000026              6          6
4-33494346540366           4          0
4-21650000098         829178     783715
4-331914911020124           10          10
4-212661000746            38         29
4-864854944000             4          4
4-14054759551              5          5
4-8649846540000            4          4
4-48601000071              6          6
4-33191306940031          17         10
7-3319120120509            7          3
4-66191245950060           6          2
4-44054729342              4          0
4-33494905420492           4          4
4-33689008256            198        158
4-447953700210            17         11
7-12707792771              7          3
4-905590000265             6          2
4-864960344474             4          4
4-388447981200             8          8
7-6281107167               7          2
4-8190542119851            10          6
4-947046075020             4          0
4-31624000282              12          8
4-919895000041             9          4
4-491760003004             11          6
4-491700600133            14          9
4-14054729656              6          6
7-791700600118             7          7
4-447953700539             5          5
4-447785000545             5          5
4-79016481192             21         16
4-905590000558             5          5
4-2541022500121             10          6
4-42404492443              4          4
4-32475002529              4          4
4-3319120120434            10          10
4-228999991065              10          5
4-33689002900             30         20
4-864958464000             4          4
4-447953700551             5          5
4-79555900545              5          5
7-791700600177             7          2
4-8643460450000            4          4
4-97455589703              4          4
4-882285000001112          6          0
4-48601000065              5          5
4-79467494228              4          4
4-861300013103             5          0
4-201059968086             6          1
4-447782000116             6          6
7-791700600109             7          3
4-44047259009              4          4
4-34653099570              4          0
4-466760182221             6          6
4-331915290197028         15         15
4-447953700206            18         14
4-66926016522              6          1
4-447805005561             5          5
4-358508771123             9          9
4-33494905420494           4          4
4-916289015348             10          5
4-79467494202              4          4
4-919021019361             11          6
4-19069626986              6          6
4-919845289098             9          5
4-84900400                 4          4
4-8616426640000            6          6
7-3319120120770            7          7
4-8490542446874            4          4
4-905590000505             5          5
4-79167494557              5          5
4-33609009912             41         31
4-447782000442             4          0
4-62846084442              4          4
4-5348050004555            5          1
4-33609009903             29         15
4-491760003003             11          11
4-19703769843             54         28
4-8613467450000            5          5
4-66191491720125           6          6
4-38977000570              5          5
7-997700010120             7          1
4-393358840763002          4          0
4-331915656950007          5          5
4-37494000965              4          4
4-447956700258             6          2
4-4528433346               4          4
4-79012275192              9          9
4-46707000274              4          4
4-447956700267             6          6
7-791700600177             7          3
4-48601000064              5          5
4-669180009010             6          1
4-639180009005             5          1
7-358702001001             7          2
4-8618516404554            5          1
4-861851340000             5          5
4-639180008994             5          1
4-33191485010109           10          10
4-3349460460029            4          4
7-861395810000             7          7
4-261640010207             6          0
4-919810051031            15         10
4-79467494407              4          4
4-33112136700040            12          12
7-78602003071              7          2
4-905590000536             5          1
4-19039326900              11          4
4-15404495436              5          1
4-46708003206              8          4
4-8644735630000            4          4
7-882285000001100          7          0
4-79167494551              5          5
7-218919121253             7          7
4-33112131234120278           12          12
4-491790003001             9          5
4-501059968077             5          1
4-66953011551              5          1
7-79167797220              7          7
4-8615100740000            5          0
4-864565485004             4          0
4-30971460009              5          5
4-388910930                8          4
4-79639744454              4          4
4-2348020004557            4          4
4-917011075059             5          1
4-79167494186              5          5
4-447782000224             4          0
4-79467494484              4          4
4-447785000544             5          0
4-4528433342               4          4
7-639180008987             7          2
4-8615857670000            5          5
4-919815053740             9          5
4-331121485010102           12          6
4-447797707075             5          0
4-79467494226              4          4
4-30971460010              5          5
4-64577435103              5          5
4-33494443850494           4          4
4-989440006                4          4
4-3755098056               5          1
4-919898092806             8          3
4-79639744452              4          4
4-864856834003             4          4
4-669180008990             6          2
4-201089968070             8          4
4-864564644000             4          4
4-2694000135              13          7
4-450733087401             5          0
4-33191443850195           5          5
4-8618516404555            5          0
4-79270009045              11          11
4-15085978679              5          1
4-237694000000             4          4
7-79289900080              7          3
4-33191646560172          16         10
4-861854918000             5          1
4-79167494505              5          5
4-33191491720344          13          9
4-14054759351              5          0
4-8490542446884            4          4
4-3319150150508            5          5
4-66923044503              4          4
7-3319120120775            7          7
4-93794040402              4          0
4-882285000004402          4          0
4-491700600146             6          2
4-44054729344              4          0
4-639180009003             5          0
4-447953700256             4          4
4-44044559463              4          4
4-864565484945             4          4
4-44054729209              4          4
4-3859842040               4          4
4-33191962770199           8          4
4-8613759610000            5          5
4-46707000410              6          1
4-33191316540398           5          5
4-8648424480000            4          4
4-447782000226             4          0
4-66926016502              6          6
4-8490542444880            4          4
4-30971460017              5          1
4-3319160160030            8          4
4-66953016554              5          5
4-3319150150441            5          5
4-244920002408             4          4
4-447953700559             5          5
4-8613870840000            8          8
4-669180009020             6          1
7-791700600158             7          3
4-8648474670000            4          4
4-40770000028              9          5
4-22890600000              4          4
4-494700600340             4          0
4-885585000001109          5          0
4-79467494203              4          4
4-331911514450008          5          5
4-4367603035000            5          1
4-8649882390000            4          4
4-4911060003023             10          6
4-849066549770             4          4
4-3319120120449            9          5
7-31627000287              7          7
4-491700600614             6          2
4-861300013105             5          5
4-358447981103             5          5
4-451903005055             5          5
4-13603399657              5          5
4-447782000243             4          4
4-61415011015              5          0
4-491700600141             11          11
4-13603399656              10          5
4-30971460018              8          4
4-436760482234             4          4
4-201059998084             9          9
4-33494346540440           4          4
4-447785000111             5          1
7-33191316570327           7          3
4-97666810271              6          2
4-420733087400             4          0
4-447785000545             5          0
4-8644756540000            4          0
4-8190545119855            5          5
4-4610354810100              10          5
4-466760182225             6          1
7-76705003201              7          3
4-48604000066              4          0
4-905590000554             5          5
4-639180009018             5          0
4-33191316540164           5          5
4-669180009015             6          1
4-905590000555             5          1
4-639180008985             5          0
4-864854896000             4          4
4-6619120120511            6          6
4-864325477804             4          4
4-639180009013             5          1
4-447956700218             6          2
4-864325477829             4          4
4-491700600149             5          5
4-864958454000             4          4
4-905590000237             4          4
4-447785000114             5          1
4-79042324492              4          4
7-201059968201             7          3
4-44108020021032             10          10
4-3859842044               4          0
4-491700600155             5          5
4-31624000283              8          4
4-79559480195              5          0
7-37068799230              7          3
4-447802002748             8          8
4-201059968204             6          6
4-5694600207               4          0
4-436990071596             5          5
7-3319120120778            7          7
4-46363848770              4          4
4-864866200057             4          0
4-949823000477             4          4
4-652061000240             6          2
4-518959999930             5          5
4-8644796940000            4          0
4-33494346540334           4          0
7-791700600123             7          7
4-8648546404527            4          0
4-27842022225              4          4
4-44047259049              4          4
4-33191485010437           5          5
4-358508771155             5          1
4-46723900040              4          4
4-15404495445              5          5
4-8643460340000            4          4
4-355061000550             5          5
4-491700600616             6          2
4-550023402005             4          4
4-8613551740000            5          1
4-3319150150551            5          5
4-885585000001101          5          1
4-971550930006             5          5
4-8647842050000            4          4
4-491700600156             6          2
4-882285000004406          4          0
4-447805005564             5          5
4-49039326946              4          4
4-8644735730000            4          4
4-9779800000054            4          4
4-44054729322              4          4
4-15404495440              5          5
4-67129201245              6          2
4-864326404000             4          0
4-447953700213             11          5
4-4528432000               4          4
4-3349427820090            4          4
4-447785000553             5          5
7-777953700228             7          2
4-2203005292               4          4
4-949823000694             4          4
4-639480009046             4          4
4-491700600130             5          5
4-8613479640000            5          5
4-4558133318               5          5
4-8648482650000            4          4
4-8643842340000            4          4
7-777782000227             7          2
4-447785000554             5          1
4-447797707076             5          0
4-8643748602               4          4
4-8644796670000            4          4
4-4534307404               4          4
4-447953700224             4          4
4-905590000545             5          5
4-550404402069             4          4
4-8648402400000            4          4
4-466760182224             6          1
4-346530870040             4          4
4-447956700266             6          2
4-447956700257             6          6
4-79101699986              6          6
4-883430000008324          4          4
4-201059968079             6          2
4-334942547700002          4          0
4-651926600026             6          1
4-864300020403             4          4
7-639180009000             7          0
4-33494374950024           4          4
4-66926011561              6          2
4-393358840745844          4          0
4-447953700555             5          5
4-8648546404523            4          0
4-4528433347               4          4
4-204059968075             4          0
4-447953700246             4          4
4-68987409999              4          0
4-33191491750131           5          5
4-447953700535             5          5
4-861476743000             8          2
4-8615654960               6          6
4-351960995065             5          5
4-491700600124             6          2
4-8490542442850            4          4
4-8644778440000            4          4
4-79202906865              6          2
4-447785000115             5          1
4-96558859635              5          5
4-861675810000             6          6
4-4667606065000            6          6
4-447953700541             5          5
4-44047259008              4          4
4-949954000400             4          4
4-905590000241             6          6
4-491700600137             5          0
4-447983700247             8          8
7-791700600172             7          3
4-352064000250             4          4
4-96394107400              5          1
4-861354704000             5          5
4-447781005015             5          1
4-33494346540297           4          4
4-2348020004640            4          4
4-25377890008              4          4
4-864320045342             4          0
4-33689008252              4          4
4-65816081157              5          1
4-8648546404520            4          0
4-33494905420446           4          4
4-447953700245             4          4
4-447782000244             4          0
4-8645765840000            4          4
4-501059968087             5          1
4-491700600119             6          6
4-201059968206             6          2
4-46705003202              4          0
7-736760182222             7          2
4-491700600152             6          6
7-33191791720339           7          7
4-48881109195              5          5
4-240556000440             4          4
4-30974460042              4          0
4-33494255750069           4          4
4-49039326994              4          4
4-883430000008322          4          0
4-38640006170              8          4
4-49039326993              4          4
4-8643745906000            4          0
4-79404399982              4          4
4-864564450908             4          4
4-48881109155              5          1
4-44054729344              4          4
4-590690880204             4          4
4-43603399764              4          4
4-8645402440000            4          4
4-37069950000              5          5
4-447782000260             6          6
4-8648455040000            4          4
4-447953700538             5          1
4-447782000118             8          8
4-44054729249              4          4
4-79467494442              4          4
4-864854944000             4          4
4-3349427820440            4          4
4-49039326966              4          4
4-8644784620000            4          0
4-447953700234             4          4
4-639480008993             4          0
4-8648400240000            4          4
4-96475509005135           5          5
4-37069899884              4          4
4-3755509961               5          0
4-79467494432              4          4
4-38463400304              4          4
4-491700600140             5          5
4-79188399995              5          1
4-79467494472              4          4
4-66942500006              4          4
4-8648488440000            4          4
4-48601000063              5          5
4-393358999734             4          4
4-66923045506              4          0
4-49039326984              4          0
4-494700600439             4          4
4-447782000266             6          6
4-62451000026              6          6
4-42085978676              4          4
4-33494905420488           4          0
4-864320048000             4          0
4-33689008744              4          4
4-8190545113861            5          1
4-882285000004408          4          0
4-49039326974              4          0
4-49039326982              4          4
4-44054729247              4          0
4-66923046503              4          4
4-861854916000             5          1
4-8645434440000            4          4
4-334942626920042          4          4
4-8648472840000            4          4
4-447953700243             4          4
4-550101105093             5          1
4-54079000020              4          4
4-639480009042             4          0
4-949026786493             4          4
4-491700600105             5          5
4-447956700249             6          2
4-359898000446             4          4
4-44054729325              4          4
4-864854640474             4          0
4-436990071595             5          5
4-447782000119             6          6
4-436760482228             4          4
4-387630000070             4          4
4-550449202007             4          4
4-38268000903              4          4
4-44054729244              4          4
4-905590000238             4          4
4-436760482230             4          0
4-44054729346              4          4
4-861300085100             5          5
4-882285000004446          4          0
4-254944299999             4          0
4-44054729205              4          4
4-436760185535             5          1
4-8648883440000            4          0
4-79447994088              4          4
4-8643782970000            4          0
4-254974200250             4          4
4-33191905450588           5          5
4-33494905420457           4          4
4-33191905450584           5          5
4-79444599990              4          4
4-13603399047              5          1
4-8490542443864            4          4
4-33191535760008           5          0
4-33494353870058           4          4
4-447782000232             4          4
4-8643840440003            4          4
4-8649895530000            4          0
4-4558133311               5          5
4-8648804430000            4          4
4-947044075028             4          4
4-639480009044             4          4
4-324750004460404          4          0
4-8644709420000            4          4
4-885585000001103          5          0
4-974550930007             4          4
4-33191905450189           5          5
4-8613554540000            5          5
4-849066549762             4          4
4-8645905380000            4          4
